post_id,account,platform,content_type,category,post_date,day_of_week,hour_of_day,month,likes,comments,shares,views,followers,engagement_rate,hashtag_count,has_emoji,post_length
POST_0001,@user_016,Instagram,Video,Fitness,2024-04-24 04:47:00,Wednesday,4,4,2345.0,1296.0,712.0,9562,355285,1.2252,23.0,True,1738
POST_0002,@user_014,Instagram,Video,Fashion,2024-04-29 16:38:00,Monday,16,4,514.0,135.0,48.0,4245,294754,0.2365,6.0,False,912
POST_0003,@user_001,YouTube,Reel,Fitness,2024-03-22 22:27:00,Friday,22,3,7371.0,5898.0,684.0,112700,146184,9.5448,4.0,True,1388
POST_0004,@user_007,Instagram,Video,Entertainment,2024-07-02 11:38:00,Tuesday,11,7,9811.0,1121.0,597.0,11785,423667,2.7212,1.0,False,521
POST_0005,@user_041,YouTube,Video,Fitness,2024-11-12 11:36:00,Tuesday,11,11,2785.0,2731.0,1637.0,29009,369898,1.9338,2.0,True,943
POST_0006,@user_007,Facebook,Video,Travel,2024-07-13 08:29:00,Saturday,8,7,6387.0,1572.0,4482.0,11419,85777,14.5039,11.0,False,868
POST_0007,@user_039,Facebook,Poll,Fashion,2024-11-21 05:34:00,Thursday,5,11,3567.0,,2355.0,9652,86169,10.4817,14.0,False,1115
POST_0008,@user_050,TikTok,Image,Education,2024-01-29 07:52:00,Monday,7,1,2134.0,160.0,1311.0,6089,422575,0.8531,10.0,False,1106
POST_0009,@user_014,Instagram,Image,Education,2024-12-01 15:25:00,Sunday,15,12,4861.0,5318.0,3738.0,48999,75405,18.4563,8.0,True,1020
POST_0010,@user_048,TikTok,Reel,Fitness,2024-10-26 13:57:00,Saturday,13,10,,2614.0,19561.0,134717,209900,19.5903,11.0,True,576
POST_0011,@user_049,TikTok,Story,Fashion,2024-01-25 03:09:00,Thursday,3,1,3672.0,1764.0,1033.0,65385,415777,1.5559,21.0,False,270
POST_0012,@user_034,YouTube,Story,Business,2024-05-08 17:55:00,Wednesday,17,5,296.0,376.0,147.0,4780,357164,0.2293,23.0,True,1102
POST_0013,@user_028,Facebook,Video,Fitness,2024-03-21 14:00:00,Thursday,14,3,4315.0,1302.0,8780.0,13882,262951,5.4752,24.0,True,2089
POST_0014,@user_041,Instagram,Poll,Fitness,2024-09-16 19:12:00,Monday,19,9,6432.0,1776.0,862.0,19012,196538,4.6149,24.0,True,2182
POST_0015,@user_032,Instagram,Reel,Education,2024-01-10 03:59:00,Wednesday,3,1,4160.0,1460.0,432.0,21215,461203,1.3122,26.0,False,990
POST_0016,@user_006,Instagram,Image,Fashion,2024-09-05 02:48:00,Thursday,2,9,11401.0,,3775.0,32495,402017,4.4028,4.0,True,1956
POST_0017,@user_034,TikTok,Image,Fitness,2024-11-06 13:13:00,Wednesday,13,11,16787.0,,5737.0,190110,396476,7.204,23.0,True,1286
POST_0018,@user_029,YouTube,Poll,Education,2024-09-21 14:07:00,Saturday,14,9,2073.0,5688.0,3386.0,30584,118306,9.4222,,False,96
POST_0019,@user_038,TikTok,Reel,Travel,2024-04-22 00:04:00,Monday,0,4,1040.0,1063.0,2399.0,22791,120531,3.7351,2.0,True,1363
POST_0020,@user_018,Instagram,Reel,Travel,2024-12-08 15:13:00,Sunday,15,12,18452.0,1485.0,1908.0,19831,69869,31.2657,23.0,False,1005
POST_0021,@user_007,YouTube,Story,Travel,2024-02-19 21:27:00,Monday,21,2,10024.0,5560.0,2388.0,30121,222577,8.0745,13.0,False,231
POST_0022,@user_047,Instagram,Video,Entertainment,2024-06-22 03:15:00,Saturday,3,6,3745.0,,1262.0,17776,100224,6.0445,17.0,False,584
POST_0023,@user_030,YouTube,Image,Fitness,2024-05-07 02:28:00,Tuesday,2,5,15720.0,6969.0,1913.0,142036,51832,47.4649,1.0,True,392
POST_0024,@user_032,Twitter,Image,Entertainment,2024-09-03 06:55:00,Tuesday,6,9,6843.0,,16123.0,20141,473639,6.4809,1.0,True,1562
POST_0025,@user_030,Instagram,Story,Fitness,2024-05-26 13:44:00,Sunday,13,5,14379.0,3503.0,571.0,19978,347511,5.31,22.0,False,644
POST_0026,@user_004,Twitter,Text,Travel,2024-10-23 23:34:00,Wednesday,23,10,337.0,1503.0,1376.0,3635,392654,0.819,10.0,True,215
POST_0027,@user_004,TikTok,Story,Food,2024-09-17 02:54:00,Tuesday,2,9,13143.0,1311.0,4263.0,65240,36424,51.3864,19.0,True,973
POST_0028,@user_038,YouTube,Video,Travel,2024-10-31 01:39:00,Thursday,1,10,1107.0,480.0,556.0,10145,220294,0.9728,,False,1078
POST_0029,@user_016,Twitter,Poll,Education,2024-05-15 12:08:00,Wednesday,12,5,6032.0,7733.0,10280.0,22940,240217,10.0097,10.0,True,48
POST_0030,@user_005,YouTube,Reel,Fashion,2024-10-02 06:32:00,Wednesday,6,10,7181.0,1976.0,4104.0,57388,69945,18.9592,29.0,False,291
POST_0031,@user_011,Twitter,Text,Fitness,2024-08-12 17:45:00,Monday,17,8,5452.0,,5973.0,7425,321195,6.1962,25.0,True,1236
POST_0032,@user_008,Instagram,Image,Fitness,2024-02-24 23:35:00,Saturday,23,2,2624.0,1033.0,1148.0,18300,143288,3.3534,9.0,True,1414
POST_0033,@user_033,Twitter,Poll,Fitness,2024-09-07 08:57:00,Saturday,8,9,265.0,1100.0,1472.0,1948,48890,5.8028,20.0,False,1143
POST_0034,@user_050,Instagram,Video,Education,2024-03-07 20:16:00,Thursday,20,3,2105.0,918.0,1349.0,9788,389118,1.1236,14.0,False,49
POST_0035,@user_035,Instagram,Video,Food,2024-01-19 11:37:00,Friday,11,1,14225.0,5012.0,1976.0,67823,78143,27.1464,13.0,True,181
POST_0036,@user_023,Facebook,Text,Tech,2024-04-17 21:15:00,Wednesday,21,4,2741.0,638.0,2063.0,3113,185929,2.9269,24.0,False,643
